PRODUCT_KEY;PRODUCT_ID;PRODUCT_NAME;CURRENT_CATALOG_NAME;NORMALIZED_DIRECTION;CATALOG_MATCH_STATUS;GOODS_PRESENT;SECTION_NAME;PARENT_SECTION;COST_PRICE;COEFFICIENT;OFFER_ROWS;OFFER_DEALS;OFFER_QTY_LADDER;ORDER_ROWS;ORDER_DEALS;TOTAL_ORDER_QTY;CURRENT_BASE_PRICE;ORDER_PRICE_P25;ORDER_PRICE_P50;ORDER_PRICE_P75;ORDER_QTY_P25;ORDER_QTY_P50;ORDER_QTY_P75;PRICE_RATIO_P25;PRICE_RATIO_P50;PRICE_RATIO_P75;PRICE_RATIO_MIN;PRICE_RATIO_MAX;PRICE_RATIO_RANGE;PRICE_MODE;CONFIDENCE_TIER;MANUAL_REVIEW_REASON
6298;6298;Винил/Баннер интерьерная печать более 50 кв.м;Винил/Баннер интерьерная печать более 50 кв.м;Сольвент;catalog;Y;Сольвент;Самоклейка;550;0.03;8;8;50|100;24;21;459.49;715;448;490;490;2.825;9.8;28.5;0.6266;0.6853;0.6853;0.5818;1.05;0.4682;guided;medium;requires_context_lookup
6504;6504;Оклейка рельефной поверхности пленкой 1 кв.м Цех;Оклейка рельефной поверхности пленкой 1 кв.м Цех;Цех;catalog;Y;Оклейка;Самоклейка;787.5;0.11;2;2;1;24;23;36.52;1575;819;1040;1170;1;1;1.2125;0.52;0.6603;0.7429;0.4622;1.0565;0.5943;manual;low;high_price_variance
6816;6816;Табличка полиграфия 0,04-0,06 кв.м 1-3 шт Цех;Табличка полиграфия 0,04-0,06 кв.м 1-3 шт Цех;Цех;catalog;Y;Полиграфия;Таблички;2625;0.11;8;8;0.135|0.18;24;24;12441.75;5250;0.61;4900;5250;0.12;0.33;600;0.0001;0.9333;1;0.0001;1.3333;1.3332;manual;low;high_price_variance
7092;7092;Титульная вывеска полиграфия 0,4-0,65 кв.м 1-3 шт Цех;Титульная вывеска полиграфия 0,4-0,65 кв.м 1-3 шт Цех;Цех;catalog;Y;Полиграфия;Титульные вывески;1312.5;0.11;3;3;0.48|0.5;24;24;73173.84;2625;0.2975;2537.5;2625;0.5;0.91;4800;0.0001;0.9667;1;0.0001;1.3333;1.3332;manual;low;high_price_variance
7694;7694;Монтаж вывески сложный 11-25 кв.м Цех;Монтаж вывески сложный 11-25 кв.м Цех;Цех;catalog;Y;Монтаж;Буквы;1200;0.05;2;2;15|20;24;19;316.69;2400;1080;1200;1515;6.9;13.9;15.25;0.45;0.5;0.6313;0.4;0.9;0.5;guided;medium;requires_context_lookup
7856;7856;Хайкот А3 бум. 230 гр. 1 шт Печатная;Хайкот А3 бум. 230 гр. 1 шт Печатная;Печатная;catalog;Y;Бумага;А3;5.85;0.04;10;10;20|40|60|100|300|500;24;24;723;8.74;8.74;8.87;10.1125;2;5.5;33.25;1;1.0149;1.1571;1;1.6659;0.6659;manual;low;high_price_variance
manual:аренда щита 6х3;0;Аренда щита 6х3;Аренда щита 6х3;__MANUAL_OR_UNCATEGORIZED__;manual_row;N;;;;;0;0;;24;22;26;;13000;15000;15000;1;1;1;;;;;;;manual;low;manual_or_missing_catalog
manual:дизайн баннера;0;Дизайн баннера;Дизайн баннера;__MANUAL_OR_UNCATEGORIZED__;manual_row;N;;;;;0;0;;24;23;26;;1475;1900;2050;1;1;1;;;;;;;manual;low;manual_or_missing_catalog
manual:дизайн почасовой;0;Дизайн почасовой;Дизайн почасовой;__MANUAL_OR_UNCATEGORIZED__;manual_row;N;;;;;0;0;;24;24;28.82;;666.205;1000;1500;1;1;1;;;;;;;manual;low;manual_or_missing_catalog
10354;10354;Дистанционный держатель хром 1-5 шт;Дистанционный держатель хром 1-5 шт;Цех;catalog;Y;Дистанционный держатель хром;Крепежные эллементы;50;0.11;12;12;4;23;23;78.3;100;90;90;90;4;4;4;0.9;0.9;0.9;0.8;1.3;0.5;guided;medium;requires_context_lookup
13458;13458;Винил на призматрон 4х3 12 м² монтаж 1 шт;Винил на призматрон 4х3 12 м² монтаж 1 шт;Монтажники;catalog;Y;Призматрон;Самоклейка;4300;0.1;0;0;;23;23;23;5590;3375;4200;4725;1;1;1;0.6038;0.7513;0.8453;0.5814;0.8766;0.2952;guided;medium;requires_context_lookup
16342;16342;Махачкала Имама Шамиля 48Д Мегафон Сторона Б 42.97079, 47.48961;Махачкала Имама Шамиля 48Д Мегафон Сторона Б 42.97079, 47.48961;РИК;catalog;Y;Щит;Махачкала;16500;0.2;0;0;;23;23;24.72;22000;17600;17600;22000;1;1.0228;1.25;0.8;0.8;1;0.8;1;0.2;guided;medium;requires_context_lookup
17646;17646;Махачкала Хушетское шоссе - 9-я Моторная БЗ Орион Сторона А 42.91557, 47.57447;Махачкала Хушетское шоссе - 9-я Моторная БЗ Орион Сторона А 42.91557, 47.57447;РИК;catalog;Y;Щит;Махачкала;7500;0.2;0;0;;23;23;18.96;12500;12650;12650;13825;0.6667;1;1;1.012;1.012;1.106;0.8;1.2;0.4;guided;medium;requires_context_lookup
17680;17680;Махачкала Хушетское шоссе - 9-я Моторная БЗ Орион Сторона Б 42.91557, 47.57447;Махачкала Хушетское шоссе - 9-я Моторная БЗ Орион Сторона Б 42.91557, 47.57447;РИК;catalog;Y;Щит;Махачкала;7500;0.2;0;0;;23;23;18.96;12500;12650;12650;13825;0.6667;1;1;1.012;1.012;1.106;0.8;1.2;0.4;guided;medium;requires_context_lookup
18734;18734;Каспийск Стальского 1Б Классный Сторона А1 42.88776, 47.63613;Каспийск Стальского 1Б Классный Сторона А1 42.88776, 47.63613;РИК;catalog;Y;Щит;Каспийск;9000;0.2;0;0;;23;23;22.7;5500;5500;5500;5500;1;1;1;1;1;1;0.9091;1;0.0909;guided;medium;requires_context_lookup
18742;18742;Каспийск Стальского 1Б Классный Сторона Б1 42.88776, 47.63613;Каспийск Стальского 1Б Классный Сторона Б1 42.88776, 47.63613;РИК;catalog;Y;Щит;Каспийск;9000;0.2;0;0;;23;23;22.7;5500;5500;5500;5500;1;1;1;1;1;1;0.9091;1;0.0909;guided;medium;requires_context_lookup
20276;20276;Владикавказ Островского 13 Коста Сторона А 43.03455, 44.66518;Владикавказ Островского 13 Коста Сторона А 43.03455, 44.66518;РИК;catalog;Y;Щит;Владикавказ;12900;;0;0;;23;23;22.78;15500;15500;15500;15750;1;1;1;1;1;1.0162;1;1.0323;0.0323;guided;medium;requires_context_lookup
4296;4296;А3 Печать 4+4 1 шт 1-3 дня Печатная;А3 Печать 4+4 1 шт 1-3 дня Печатная;Печатная;catalog;Y;Печать;А3;40.31;0.09;0;0;;23;23;80;159.12;100.92;159.12;159.12;1;2;3.5;0.6342;1;1;0.5454;1.62;1.0746;manual;low;high_price_variance
4542;4542;А4 Ламинация глянцевая 25мкр 21-40 шт Печатная;А4 Ламинация глянцевая 25мкр 21-40 шт Печатная;Печатная;catalog;Y;Ламинация;А4;6.11;0.07;1;1;40;23;23;676;16.52;15;16.52;16.52;24;30;36;0.908;1;1;0.7173;1.5678;0.8505;manual;low;high_price_variance
4716;4716;А5 Печать 4+0 241-800 шт Печатная;А5 Печать 4+0 241-800 шт Печатная;Печатная;catalog;Y;Печать;А5;3.46;0.04;22;22;300|480|500|720;23;23;8941;10.61;6.775;9.43;9.43;300;400;500;0.6385;0.8888;0.8888;0.1885;1.3054;1.1169;manual;low;high_price_variance
6108;6108;Брошюровка на металл пружину 10-50 экз. 8 - 12 мм Печатная;Брошюровка на металл пружину 10-50 экз. 8 - 12 мм Печатная;Печатная;catalog;Y;Брошюры;Типография;84.48;0.07;8;8;30|50;23;22;594;144;106;108;117;14;25;35;0.7361;0.75;0.8125;0.5561;1.05;0.4939;guided;medium;requires_context_lookup
6350;6350;Ламинация с накаткой для стандартной печати холодная матовая 1-3 кв.м;Ламинация с накаткой для стандартной печати холодная матовая 1-3 кв.м;Сольвент;catalog;Y;Ламинация;Самоклейка;250;0.09;15;15;1.2|1.4|1.5|1.6|2|2.5;23;21;41.49;425;510;540;630;1.325;1.8;2.4;1.2;1.2706;1.4824;1;1.6605;0.6605;manual;low;high_price_variance
