PRODUCT_ID;PRODUCT_NAME;NORMALIZED_DIRECTION;ORDER_ROWS;PRICE_MODE;CONFIDENCE_TIER;PRICE_RATIO_RANGE;CURRENT_BASE_PRICE;ORDER_PRICE_P50;MANUAL_REVIEW_REASON
10726;"Макет сайта шапка,меню,слайдер пакет ""Доступный"" 1 устройстро";Дизайн;3;manual;low;0;5000;5000;insufficient_history
11192;Макет иконки Сложный 1 решение;Дизайн;3;manual;low;0;4000;2000;insufficient_history
12272;Макет флага Простой 1 оригинал-макет;Дизайн;3;manual;low;0;1000;1000;insufficient_history
12368;Макет титульной вывески Средней сложности 1 оригинал-макет;Дизайн;3;manual;low;0;4000;2000;insufficient_history
12426;Макет вывески с визуализацией Сложный 1 оригинал-макет;Дизайн;3;manual;low;0;15000;6000;insufficient_history
13672;Макет внутренней страницы многостраничного меню Средней сложности формат А4;Дизайн;3;manual;low;0;4000;2000;insufficient_history
13816;Резка листового материала прямая ручная более 100 мп Цех;Цех;3;manual;low;0;16;16;insufficient_history
15796;Махачкала Гагарина 74А Цвточные магазины Сторона Б 42.95519, 47.50548;РИК;3;manual;low;0;25000;25000;insufficient_history
15982;Махачкала Гамидова 46 первый угол Гагарина Сторона А1 42.95475, 47.50609;РИК;3;manual;low;0;35000;35000;insufficient_history
16110;Махачкала Имама Шамиля 12 АЗС F1 Сторона А 42.98034, 47.47481;РИК;3;manual;low;0;17600;17600;insufficient_history
16136;Махачкала Имама Шамиля 15Б Муз Маркет Сторона А 42.97632, 47.48177;РИК;3;manual;low;0;17600;17600;insufficient_history
16392;Махачкала Имама Шамиля 66Г Одеон Сторона А1 42.96378, 47.49903;РИК;3;manual;low;0;16500;16500;insufficient_history
16474;Махачкала Имама Шамиля 93 Поверфит Сторона Б 42.95334, 47.5176;РИК;3;manual;low;0;17600;17600;insufficient_history
16496;Махачкала Ирчи казака 113 Тримиата Сторона Б 42.95299, 47.52046;РИК;3;manual;low;0;17600;17600;insufficient_history
16730;Махачкала Магомеда Гаджиева 80 Вход в парк Сторона А 42.98686, 47.4929;РИК;3;manual;low;0;16500;16500;insufficient_history
16768;Махачкала Магомедтагирова 188 Тролл кольцо Сторона А3 42.98393, 47.46917;РИК;3;manual;low;0;5000;5000;insufficient_history
