PRODUCT_KEY;PRODUCT_ID;PRODUCT_NAME;NORMALIZED_DIRECTION;SECTION_NAME;PARENT_SECTION;COST_PRICE;MARKUP_RATIO;PRICE_MODE;CONFIDENCE_TIER;ORDER_ROWS;OFFER_ROWS;CURRENT_BASE_PRICE;RECOMMENDED_PRICE;SUGGESTED_MIN_PRICE;SUGGESTED_MAX_PRICE;OFFER_QTY_LADDER;MANUAL_REVIEW_REASON;NEAREST_ANALOG_1;NEAREST_ANALOG_2;NEAREST_ANALOG_3
8452;8452;Акрил3 молочный до 1 кв.м;Цех;Акрил молочный 3;Листовые;2415;1.64;guided;medium;80;194;4347;3955.66;3641.67;5175;0.04|0.06|0.08|0.09|0.1|0.12|0.13|0.15;requires_context_lookup;;;
6450;6450;Аппликация прорезка 30-50 мп Печатная;Печатная;Аппликация;Самоклейка;10;1.68;manual;low;79;28;24;;;;27|31|35|45|50;high_price_variance;6450:Аппликация прорезка 30-50 мп Печатная;;
7984;7984;Баннер печать интерьерный 440гр 10-20 кв.м;Сольвент;Печать;Баннер;450;0.94;manual;low;79;14;765;;;;12|15|18|20;high_price_variance;7984:Баннер печать интерьерный 440гр 10-20 кв.м;;
9844;9844;Композит матовый до 1 кв.м;Цех;Композит;Титульные вывески;2127.5;1.41;manual;low;79;41;3829.5;;;;0.08|0.1|0.15|0.16|0.2|0.21|0.27|0.3;high_price_variance;9844:Композит матовый до 1 кв.м;;
13806;13806;Резка листового материала прямая ручная до 5 мп Цех;Цех;Резка;Листовые;12;2;guided;medium;78;42;24;24;21.6;26.4;2|3|3.2|3.4|3.5|4|4.3|4.6;requires_context_lookup;;;
12834;12834;Хайкот бум. визитки 270 гр. 1 шт Печатная;Печатная;Бумага;Визитки;0.29;1.48;manual;low;77;1;0.43;;;;240;high_price_variance;12834:Хайкот бум. визитки 270 гр. 1 шт Печатная;;
6326;6326;Оклейка ровной поверхности пленкой 1-3 кв.м Цех;Цех;Оклейка;Самоклейка;490;1.71;manual;low;77;3;980;;;;1.6|3;high_price_variance;6326:Оклейка ровной поверхности пленкой 1-3 кв.м Цех;;
7274;7274;Ручная резка стикеров на гильотине только квадратные и прямоугольные 11-50 мп Печатная;Печатная;Ручная резка;Стикеры;0.54;5.93;manual;low;77;1;3.2;;;;35;high_price_variance;7274:Ручная резка стикеров на гильотине только квадратные и прямоугольные 11-50 мп Печатная;;
manual:работа с дизайнером;0;работа с дизайнером;__MANUAL_OR_UNCATEGORIZED__;;;;;manual;low;77;0;;;;;;manual_or_missing_catalog;13616:Почасовая работа с дизайнером - криэйтором 1 час;13612:Почасовая работа с дизайнером - художником 1 час;13614:Почасовая работа с дизайнером рекламы 1 час
10852;10852;Автоматическая контурная прорезка любой формы на листе 30х45 50-100 мп Печатная;Печатная;Автоматическая резка;Стикеры;1.87;5.88;manual;low;76;4;11;;;;65|66|80|95;high_price_variance;10852:Автоматическая контурная прорезка любой формы на листе 30х45 50-100 мп Печатная;;
4310;4310;А3 Печать 4+0 61-200 шт 1-3 дня Печатная;Печатная;Печать;А3;13.84;3.07;manual;low;76;14;42.43;;;;100|200;high_price_variance;4310:А3 Печать 4+0 61-200 шт 1-3 дня Печатная;;
7844;7844;НЕВИЯ А3 бум. 250 гр. 1 шт Печатная;Печатная;Бумага;А3;11.79;2.08;manual;low;76;7;17.6;;;;6|100|300|500;high_price_variance;7844:НЕВИЯ А3 бум. 250 гр. 1 шт Печатная;;
8610;8610;Оракал 641 цветная 1-3 кв.м;Цех;Оракал 641 цветная;Пленки;400;1.74;manual;low;76;45;680;;;;0.07|1.04|1.05|1.1|1.13|1.2|1.28|1.35;high_price_variance;8610:Оракал 641 цветная 1-3 кв.м;;
12728;12728;Макет баннер рекламного Простой 1 решение;Дизайн;Баннеры;Дизайн;1500;1.33;manual;low;75;8;3000;;;;1;high_price_variance;12728:Макет баннер рекламного Простой 1 решение;;
12826;12826;Хайкот А4 бум. 270 гр. 1 шт Печатная;Печатная;Бумага;А4;3.43;1.49;manual;low;75;18;5.12;;;;50|100|200|300|500|1000|2000|5000;high_price_variance;12826:Хайкот А4 бум. 270 гр. 1 шт Печатная;;
5270;5270;Визитки Печать 4+4 1-3 дня 1000 Печатная;Печатная;Лазерная печать;Визитки;1.19;2.81;manual;low;75;11;3.74;;;;1000;high_price_variance;5270:Визитки Печать 4+4 1-3 дня 1000 Печатная;;
6294;6294;Винил/Баннер интерьерная печать 10-20 кв.м;Сольвент;Сольвент;Самоклейка;550;0.95;manual;low;74;12;825;;;;12|18|20;high_price_variance;6294:Винил/Баннер интерьерная печать 10-20 кв.м;;
7488;7488;Оклейка бочины букв пленкой простые 11-50 мп Цех;Цех;Оклейка;Буквы;203;1.74;manual;low;74;126;442;;;;10.6|10.8|10.9|11.1|11.14|11.5|11.7|11.8;high_price_variance;7488:Оклейка бочины букв пленкой простые 11-50 мп Цех;;
16252;16252;Махачкала Имама Шамиля 39А Парамакс Сторона Б 42.96398, 47.49956;РИК;Экран;Махачкала;44000;1.14;guided;medium;72;0;60000;50000;50000;66000;;requires_context_lookup;;;
4706;4706;А5 Печать 4+4 8-80 шт Печатная;Печатная;Печать;А5;7.82;3.39;manual;low;72;12;26.52;;;;20|40|60|80;high_price_variance;4706:А5 Печать 4+4 8-80 шт Печатная;;
7728;7728;Свет для буквы лента 11-30 мп Цех;Цех;Свет;Буквы;315.56;2.08;guided;medium;72;46;646.89;656;582.2;714;10.4|10.5|10.6|11.1|11.2|11.3|11.35|11.6;requires_context_lookup;;;
13782;13782;Резка винила ручная до 5 мп Цех;Цех;Резка;Пленки;7.5;2;guided;medium;71;0;15;15;13.5;16.5;;requires_context_lookup;;;
4510;4510;А4 Печать 4+4 2-4 шт Печатная;Печатная;Печать;А4;20.16;3.95;manual;low;71;0;79.56;;;;;high_price_variance;4510:А4 Печать 4+4 2-4 шт Печатная;;
9138;9138;Ламинация с накаткой для стандартной печати холодная глянцевая 3-10 кв.м;Сольвент;Сольвент;Самоклейка;250;2.09;manual;low;71;9;400;;;;3.5|3.6|4|6.2|7.6|8|9.2|10;high_price_variance;9138:Ламинация с накаткой для стандартной печати холодная глянцевая 3-10 кв.м;;
13786;13786;Резка винила ручная 10-30 мп Цех;Цех;Резка;Пленки;6.5;2;guided;medium;70;0;13;13;11.7;14.3;;requires_context_lookup;;;
4524;4524;А4 Печать 4+0 121-400 шт Печатная;Печатная;Печать;А4;6.92;2.43;manual;low;70;34;21.22;;;;200|300;high_price_variance;4524:А4 Печать 4+0 121-400 шт Печатная;;
7956;7956;Баннер печать стандарт 440гр 1-5 кв.м;Сольвент;Печать;Баннер;280;1.7;manual;low;69;1;560;;;;2;high_price_variance;7956:Баннер печать стандарт 440гр 1-5 кв.м;;
8670;8670;Монтажная пленка с подложкой 1-3 кв.м;Цех;Монтажная пленка с подложкой;Пленки;390;1.7;guided;medium;69;0;663;663;502.3;729.3;;requires_context_lookup;;;
4522;4522;А4 Печать 4+4 121-400 шт Печатная;Печатная;Печать;А4;13.84;2.73;manual;low;68;28;42.43;;;;140|160|180|200|240|300|360|400;high_price_variance;4522:А4 Печать 4+4 121-400 шт Печатная;;
6104;6104;Брошюровка на металл пружину 1-5 экз. 8 - 12 мм Печатная;Печатная;Брошюры;Типография;88.56;1.42;guided;medium;68;0;168;126;120;184.8;;requires_context_lookup;;;
8612;8612;Оракал 641 цветная 3-10 кв.м;Цех;Оракал 641 цветная;Пленки;400;1.6;manual;low;68;9;640;;;;2.6|3.39|3.5|3.7;high_price_variance;8612:Оракал 641 цветная 3-10 кв.м;;
10850;10850;Автоматическая контурная прорезка любой формы на листе 30х45 30-50 мп Печатная;Печатная;Автоматическая резка;Стикеры;2.04;5.88;manual;low;67;0;12;;;;;high_price_variance;10850:Автоматическая контурная прорезка любой формы на листе 30х45 30-50 мп Печатная;;
